name,line
giannakisftw,https://tenor.com/view/lotr-lord-of-the-rings-theoden-king-of-rohan-you-have-no-power-here-gif-4952489
Meldanen ( ͡° ͜ʖ ͡°),-stop
giannakisftw,str8 ou from hell 😛
Con,"fart, fart, hello, and eggs"
Mel0n,we first did ted
Kahlan,the old band?
Mel0n,i'm confused
Almond™ of the day.,-salts sugar just for the sake of salting it-
Mel0n,I CANNOT
Turok,Vaginas are 2nd butts
Mel0n,It is magical
giannakisftw,we can w8 ^^
Con,https://www.youtube.com/watch?v=qr54rgJGUQ4
giannakisftw,was gonna say that xD
Nodtriel,hahaha
Mel0n,"it's my passive aggressive way of saying ""YOU'RE GARBO"""
giannakisftw,||micheal is the white house cleaner xD||
Con,pengions
Mel0n,XD
giannakisftw,shabel*
Nodtriel,"people are also saying its not like other CW shows, which is what supergirl is"
Con,yeah xD
CallousVixen,$H
giannakisftw,doctor is on vacations
Meldanen ( ͡° ͜ʖ ͡°),Venison is nice
Meldanen ( ͡° ͜ʖ ͡°),it wasn't supposed to bonk btw. Not sure how that happened
giannakisftw,"I went to pee and when i return, i saw that laptop stack on the restart processes xD"
Con,So when is he staying AI uprising?
Kahlan,He literally shared it the other day
Nodtriel,i mean Glen buying a brick
milkypaws,"And if its shocking, it makes ""good TV"""
Con,@H Chof 🍈  will you be able to walk from neverland?
giannakisftw,"yes, but the mother board is faulty ( we asume ) and  i am waiting for it to be replaced"
giannakisftw,with his w and e
Mel0n,-play robbie williams angels
milkypaws,im pushing to at least make it twice a month 😛
Almond™ of the day.,Is that a sad cat seal?
Con,"hahaha tried to explore a different place after last night, and i log in now and was killed by an alpha raptor xD"
Almond™ of the day.,"Nice. Part of my dream the other day my teeth were rotten, full of huge cavities."
Con,?
Turok,uai
Mel0n,kiri when i walk into my bedroom and she peeks from under the bed sheets
Almond™ of the day.,nice touch
Con,"But if thornmail stacks for real, then the cancer will just kill itself <:eqeqeq:534427246488977418>"
giannakisftw,"yea, ofc. but those specificly look like the itchhy type ones"
milkypaws,"Thanks 😊 feeling the pressure a bit tbh, work started picking up as well and there's a lot to coordinate"
giannakisftw,"pappis was better, but he is equally good"
giannakisftw,fair point. bad choice of words
Kahlan,"I had a dream that for whatever reason i was given a bus to drive even though  i can't even drive a car, I accidentally murdered someone and absolutely freaked out naturally, but everyone else in the bus was like, ""oh well these things happen"""
giannakisftw,^ she gets it!!! 😛
Nodtriel,-play https://www.youtube.com/watch?v=aommAoyyR5Y
Mel0n,:X
Con,"wow, i'm gonna report you"
giannakisftw,i h8 to admit that this is actually cute... xD
Con,"were his 5 kills just illaoi, and both of them only stayed on top lane for the entirety of the game?"
Mel0n,too bad it's size xxs and my arm doesn't fit in the waistband
Con,Possibly
giannakisftw,-play https://www.youtube.com/watch?v=3WKiC10GFSY
giannakisftw,helen is the 9th straw hat!!!!! its official by oda con!!!
Con,wow log in screen blatant ripoff
Almond™ of the day.,MY DESK IS HOT
Almond™ of the day.,https://9gag.com/gag/ao59WyA
Mel0n,Ryoutaaaa chaaaaan
Mel0n,:<
Mel0n,kewl
giannakisftw,En 9 je 1 je o megas enne dame. I am calling the police
Mel0n,read
Mel0n,monsteraaa
Meldanen ( ͡° ͜ʖ ͡°),"our best bet on keeping everyone mostly happy are places like Cook Shop, Artisan's, Limoncello and probably Beba"
Con,https://www.facebook.com/NicDroid/videos/396987187653354/UzpfSTEwMDAwMTk5NzI0NzQ5NDoxNDA5NjgwNjkyNTMyMjIy/
Meldanen ( ͡° ͜ʖ ͡°),^^
Con,https://www.youtube.com/watch?v=LWmg3utBh58&feature=share&fbclid=IwAR08CMgJRXLhZS0lMmRqCSCEo-OgJa0gG-FVBEWcQn-FiJThSdbWJuRqh4o
Kahlan,it's even giving me cramps just reading about it xD
giannakisftw,https://www.youtube.com/watch?v=NtUU7U9X5zk
giannakisftw,Yes* xD
giannakisftw,not gonna join tonight
Almond™ of the day.,"Yeah, we have several accounts for work."
Almond™ of the day.,How.
Mel0n,She's so clumsy
Almond™ of the day.,I've been keeping an eye on that one for ages.
Almond™ of the day.,Repost
Mel0n,cause he makes snuff films with cats
Turok,https://www.youtube.com/watch?v=F6TzQ3WxxVQ
Kahlan,I use one it's way more comfortable
milkypaws,adobe = suck them poor starving artists dry
Con,Yeah same
Mel0n,your decisions in the game affect the ending
Nodtriel,that shipping...
Con,happy birthday @Rin !
Con,what would funecole price be? <:eqeqeq:534427246488977418>
giannakisftw,fair point
Mel0n,you're not unlucky though statistically
Mel0n,yes i took that screenshot while watching it brony
Con,"careful though, may contain Janine"
Almond™ of the day.,"Mass of muscle knots, I think."
Con,ok cool
Meldanen ( ͡° ͜ʖ ͡°),Yes
Con,same with frozen (without the event) but i guess that's not happening either xD
Con,AnHero is <:true_self:736675827286147103> +<:owo:651525613257228288>
Meldanen ( ͡° ͜ʖ ͡°),so I would know
Mel0n,yeah i deleted teh music channel cause it wasn't used almost ever
giannakisftw,<:no:622133750066708490>
giannakisftw,u dont lose anything 😛
Con,"proper bingeing, huh?"
Almond™ of the day.,"Ah, my future. <:eqeqeq:534427246488977418>"
giannakisftw,a little heads up to my fellow vikings: so... story goes like this
Nodtriel,4
Mel0n,hahah
giannakisftw,are*
Con,"Last night I dreamt that we were going to the beach. See, sometimes I have fantasy themed dreams too <:eqeqeq:534427246488977418>"
Con,"i'm not sad, i just shared a maroulla content xD"
Almond™ of the day.,https://youtu.be/i1nz5Bkpmcw
Kahlan,We will first freeze to death?
Con,yass ❤️
Kahlan,Good call 😅
Con,pooj
Almond™ of the day.,I think that's just a normal curiosity about death.
Nodtriel,https://en.wikipedia.org/wiki/Whitefish_(fisheries_term)
giannakisftw,woot? 0.o when did i did that? 0.o
giannakisftw,does he actually unlocks his ultra instincts?
Almond™ of the day.,"I'm telling you, Discord is *drunk.* Go home, Discord."
Meldanen ( ͡° ͜ʖ ͡°),🖐️ -> 🍆
Con,Enders. I. Said. Do. Not. Release.
Meldanen ( ͡° ͜ʖ ͡°),oullo xrosta o giannakis
Almond™ of the day.,https://vimeo.com/388618722
Turok,"Also, what the fuck is that chess tactics on about"
Mel0n,with plasticky silver bits
Mel0n,step 4
Almond™ of the day.,Sardines aren't particularly salty.
Meldanen ( ͡° ͜ʖ ͡°),🌕 🌗 🌘 🌑
Kahlan,Im not desperate to buy a new one im sure it can go awhile still with battery replaced but i wouldn't mind too much getting a new one lets say
giannakisftw,never ordered one 😛
Meldanen ( ͡° ͜ʖ ͡°),And I was wondering if others had the same experience
Kahlan,<:eqeqeq:534427246488977418>
Nodtriel,"yeah they will be hidden, thats just there so i know approximately where things are supposed to be"
Kahlan,https://youtube.com/watch?v=J6M-WBbPAZM&feature=share
Meldanen ( ͡° ͜ʖ ͡°),huehue
Almond™ of the day.,97608376
Almond™ of the day.,The tuna sushi was so damn good.
Mel0n,<:eqeqeq:534427246488977418>
Con,your dream was the good place confirmed
Nodtriel,At least they are cheap
Meldanen ( ͡° ͜ʖ ͡°),😮
Almond™ of the day.,"> hey how come you get free trips and i get abducted and experimented on
@BUTT🥝🕷🕷🕷🕷🕷 Hey, an abduction is still a free trip."
Con,oh no!
Con,at least they are not 12 euros per month <:eqeqeq:534427246488977418>
giannakisftw,the chonks are strong in this one
giannakisftw,"thimoume, he used to be broken before they start reworkign everything, and completely changed the playstyle"
Almond™ of the day.,"If your vagina stinks like shit, you need to revisit how you're wiping your bum."
Con,"Sure, rest well, kyria!"
Almond™ of the day.,https://m.ebay.ie/itm/ekodworks-windowsill-of-snail-snail-All-6-set-Gashapon-mascot-toys-/173962055392
Turok,You're a doctor's job
Con,to finally retire the 3ds games
Meldanen ( ͡° ͜ʖ ͡°),there is only one true anime and its name is Yakitate Japan
Nodtriel,I guess no more right turns there for a while
Meldanen ( ͡° ͜ʖ ͡°),do eet
Mel0n,but yeah it would look more polished
giannakisftw,no not yet. some times it takes them 2-3 days to give the rewards
Almond™ of the day.,"IDK, I've only seen Jo's"
giannakisftw,did u call me melon?
milkypaws,HAHAHAHA
Con,"no but there's a way to change servers and if you do, it cures apparently"
Kahlan,i almost get run over on a daily basis on a straight road so
Mel0n,what a scheme
Mel0n,even without corona it would be a shit year
giannakisftw,ego je i falenes imaste! mysterious creatures!!!
Con,they were making @A 🍍's life difficult
Almond™ of the day.,I kinda want to
Con,hahaha seriously? xD
milkypaws,though itan okay o tasos pou tou ediksa to sword and sorcery
Mel0n,Awesome
Nodtriel,"Yeah watch Season 2, don't bother with Season 3, go for the manga instead
They changed studios for Season 3 and censored the shit out of it, blood is white, everyone bleeds sperm"
Mel0n,remember @xdo go 🥥 glen was complaining that tocayo was very very expensive
giannakisftw,5421.26592 AP if it stacks idividually 😛
giannakisftw,less toxicity xD
Kahlan,maybe you can mod it
Mel0n,SHE THROWS COOKIES
Mel0n,i'd imagine it's a bit tougher meat though
giannakisftw,https://www.youtube.com/watch?v=LKtE2LWqvOk&list=PLKPsuBIKuejNti_ywlay6kXYKyIdt3mWU&index=3
Nodtriel,🏹
giannakisftw,book i dont know
giannakisftw,jaws 4
milkypaws,andreas and costas for now
Con,yas the scp one
Kahlan,chonker cat...er
Almond™ of the day.,VOICE OVER
giannakisftw,ha! would love to see that
Kahlan,"exactly, it's a  castle so we probably won't even interact with them"
giannakisftw,https://www.youtube.com/watch?v=jI9aZtWoIkw
giannakisftw,u can
Nodtriel,working on mine now :P
Almond™ of the day.,What if we absorb them?
Kahlan,<:aaaaaaaaaaaaa:551753069189267457>
Con,but then we won't need glen 🤔
Almond™ of the day.,why so hotttt
giannakisftw,<:sadness:534426569406545921>
giannakisftw,come  little one! i love u!
Kahlan,https://www.yves.brette.biz/public/gif_et_autres_arts/neige_ma_recette_de_canards_glaces.gif?fbclid=IwAR0bKwFfeN0qo9Py1Rl-QDYujr9zUQu4d_oDrz-Yx8tF_EZ1CzlTLlHZ1qQ
Mel0n,not surprised your english vocabulary is at 5%
Kahlan,yeah thought u might be
Nodtriel,@Slot 🍓
Con,i don't think Joseph witnessed the magical meow of Aftiou
giannakisftw,will check it for sure
Mel0n,And especially their thrillers
giannakisftw,tried it twice. both times i was like * kill me now pls!!!! QQ *
Almond™ of the day.,Hahahaha!
Con,"i wanted to play the pillars of the earth, but i completely forgot about it xD"
giannakisftw,https://giphy.com/gifs/staronfox-star-on-fox-lee-daniels-uioK4ImefZvXqWdQwU
Con,same
Meldanen ( ͡° ͜ʖ ͡°),Rokoko was okay as well
Con,"no, not that one"
giannakisftw,its like a trilion galaxies away! 0.o
Nodtriel,Probably when we are 90 writing in English will probably be quite different
Almond™ of the day.,It's an improvement
Almond™ of the day.,*ever
giannakisftw,Otherwise i would spectate u
Almond™ of the day.,noice stuff
Nodtriel,https://www.youtube.com/watch?v=VscdPA6sUkc
Mel0n,lol
Con,Barry xD
Nodtriel,https://www.youtube.com/watch?v=5LrPKoNvPPc
Meldanen ( ͡° ͜ʖ ͡°),Are we tsipitilliing tonight?
Mel0n,I see
Almond™ of the day.,🐟
Almond™ of the day.,Welcome to enlightenment.
Almond™ of the day.,We've done a few
Kahlan,"You could tell she was way more experienced than the rest cos they all went for her for complicated and hard stuff, but she was never in the foreground, i just assumed she didn't want to be but they actually never gave her the option"
Mel0n,you going for tiles with wood grain?
milkypaws,"there will be tutorials too, but the one-off won't be with basic pre-made characters, you can make your own. its only for the tutorials that we provide ready-made characters"
Kahlan,https://tenor.com/view/spam-spam-intensifies-yum-gif-13948300
Meldanen ( ͡° ͜ʖ ͡°),alla does it have no use?
Mel0n,i know the artist
Mel0n,i think im gonna throw a skirt over my pjs
Mel0n,which you based on a grunt i made
Turok,I know the feeling
Nodtriel,https://www.youtube.com/watch?v=t0X-MhMAiTc
giannakisftw,@Lady Sibling of Cheesehampton 🧀  reginald has become a cocoon and he is about to hatch!!!
giannakisftw,i still find it very sus that megus posted his pic before it become a fuss....
Con,what games are you playing?
giannakisftw,"imagine cable net out of blue, decided to ban rs xD"
Mel0n,nyr on the right you on the left
Nodtriel,Pengions
Con,anyone here watched Golden Kamuy?
Mel0n,and joseph copped out
Almond™ of the day.,THIS GIRL SAT ON MY LAP
Almond™ of the day.,Moral of the story - don't walk pets without leads.
giannakisftw,🤷‍♂️
giannakisftw,i always leave my wallet and keys on the desk for easy * grab n go * when i am gonna leave the house.  i just dedusted both of them...
Meldanen ( ͡° ͜ʖ ͡°),#notallorcs
Almond™ of the day.,Jafar<:eqeqeq:534427246488977418>
Almond™ of the day.,"@BUTT🥝🕷🕷🕷🕷🕷 , apparently peppermint oil helps with ibs symptoms."
Mel0n,filmora looks similar
giannakisftw,"unless u have big muscle diference, or bone structure, 99% u r heavier cause u r fater"
Con,i saw the maroulles area
Mel0n,play the game again from the beginning so that I watch the last few seconds differently?
giannakisftw,i think we talked about  this before
Kahlan,tie them up and drag them behind their bikes
giannakisftw,there is vasilopita from bakery in the kitchen. cut me a piece. grabbed it. my fingers transformed into butter!
Con,"oh god, those greek reality shows"
Kahlan,90% of the time I have no idea why there is an argument going on in this server
milkypaws,Kalos to 😂
Almond™ of the day.,AAAA
giannakisftw,"the funny thing, is that, it snot the first time i got the frop"
Mel0n,https://www.netflix.com/browse/?wnt_session=6b5d12fd-aa91-4fcb-8b36-5aa37ee5bc16
milkypaws,<@​&552467108676501505>
Turok,https://twitter.com/scienceshitpost/status/1349104403563884544?s=19
Con,no hate on titan 😢
giannakisftw,😛
Turok,yes
milkypaws,why is everything so ill-fitting 😂
Meldanen ( ͡° ͜ʖ ͡°),-play https://www.youtube.com/watch?v=qchPLaiKocI&list=RD62IZNl2CtDs&index=2
Mel0n,i'm 500 jpg
Con,i don't think i ever had any problems with fridays food
Almond™ of the day.,@G Xoxo🌷:)
Con,https://tenor.com/view/attackontitan-aot-sunday-attack-on-titan-sunday-fresh-discord-aotgoated-gif-19478023
Mel0n,no
Almond™ of the day.,Oh gad
Almond™ of the day.,https://www.facebook.com/643444619329581/posts/1040756066265099/?sfnsn=mo
Turok,"Ah, yes. The Carmusters."
Mel0n,o nu
Con,and chesecak
Con,chonkers ❤️
Almond™ of the day.,Five human characters.
Nodtriel,"Another cinematic
||https://www.youtube.com/watch?v=2DjwOglqONg||"
Nodtriel,SHOSPLE COLUPIS
Kahlan,aren't you happy for made in abyss stuff
CallousVixen,$H
Con,"oh, i thought you were gonna say they are angery and aggressive"
Mel0n,aparently this is cgi
Nodtriel,"We must find Eve, only she can cure COVID"
Con,Potat in koupepia? Blasphemy!
Meldanen ( ͡° ͜ʖ ͡°),Waiting for a proper game
Kahlan,ngl i low key like that one but not the sleeves so much
Kahlan,https://tenor.com/view/why-not-both-why-not-take-both-gif-11478682
Almond™ of the day.,"You're a temptress, Con?"
Kahlan,Noice
Con,yas
giannakisftw,cause it could be much cheaper if i wanted to
Turok,"This image.
That is all."
Nodtriel,haha RIP :P
Mel0n,the plums that arrived are plum coloured.
giannakisftw,it doesnt let u win if u dont pay
Almond™ of the day.,Yas
Mel0n,aaaa i wanna dig my face in it
Mel0n,😢
Con,"yea, totally classic chess move"
Almond™ of the day.,ok
giannakisftw,cause i had no idea that was an option until now
Meldanen ( ͡° ͜ʖ ͡°),but messy hair who cair
giannakisftw,ok i will admit it... this is fucking cute :3
giannakisftw,check out * it takes two *. nice little co-op game. it came out on friday
giannakisftw,so.... are they still there?
Turok,They take a wildlife animal
milkypaws,https://tenor.com/view/mariah-carey-i-dont-know-her-gif-21344093
Almond™ of the day.,My body is ready.
Mel0n,yes.
Con,i bet they are the kind of people who stop their car in the middle of the narrow road downtown just to talk to someone they know
giannakisftw,oh right!
Kahlan,https://tenor.com/view/funny-giggle-gif-13008541
Almond™ of the day.,https://tenor.com/view/jumanji-robin-williams-what-year-is-it-gif-4460484
milkypaws,There were like 10 of us waiting for results afterwards at different tables outside at the cafe there.
Meldanen ( ͡° ͜ʖ ͡°),or forgetting to study for tests
incognito,you emerged like a saviour from the shadows. A glen messiah
Nodtriel,"The final War Campaign cinematic
||https://www.youtube.com/watch?v=bhe2L8l62tE||"
Turok,https://twitter.com/UnusualVideos/status/1364161182567858182
giannakisftw,"hint:|| it was not zed, nor ilaoi ||"
Mel0n,<:nobonk:755848375248879757>
Meldanen ( ͡° ͜ʖ ͡°),sec
giannakisftw,"if it was a queen ant, woudlnt that make kiri a queenslayer?????"
Nodtriel,Webtoons also allows you to download comics to read later so you could find one you like and download a bunch of chapters
Nodtriel,"Not a problem, get some rest :)"
Kahlan,"well the mall we all went the burger was a bit meh, the buns were stale"
giannakisftw,dat cold blooded rejection QQ
Turok,What
giannakisftw,"dont know now, bur back in the day it was nothing like eso"
Mel0n,to compensate for the mango
Almond™ of the day.,https://media.tenor.com/images/398ba94eb293bc124691fd0524ffded0/tenor.gif
giannakisftw,"i picture jo whispering passive agressive things in your ear, and u get shivers and tingles from it xD"
Con,y0s
Kahlan,"i think i get what you mean now, idk it could be, like i said, due to it's location, that on fb groups etc you look thy are more niosia specific so you wouldn't se eit posted there"
Almond™ of the day.,https://www.facebook.com/groups/CharacterDesignChallenge/permalink/1597938477074161/
Almond™ of the day.,we all do
Con,they become pretty birby bois ❤️
Kahlan,"im surprised it took that long tbh, it used to be a hella crowded office until recently where just like a skeleton crew was there in the office itself"
Meldanen ( ͡° ͜ʖ ͡°),Only death
giannakisftw,"the words and shit, will be triple checked to make sure i will not make typos xD"
Kahlan,"yes, i did first type that then remembered i can send a SW gif instead so i deleted my reply"
Nodtriel,same
Mel0n,it's about luka magnotta
Con,avant garde
Con,hahaha
Kahlan,"agreed, that guy should totally have gone with heels too"
Nodtriel,Alright
Kahlan,But imagine it being a human body
Con,"the face i basically stole it from raro, so joseph stole from raro through me <:eqeqeq:534427246488977418>"
Almond™ of the day.,"Ok, half of them."
Con,one can hope
Mel0n,🇬 🇮 🇴 🇷 🇬 🇦 🇰 ℹ️ 🇸
Kahlan,i feel like im not missing out
giannakisftw,lol
giannakisftw,"the funny thing is that they have actual riad mechanics. like when ghuun debuffed u , and u had to be away from party when the debuff expired, and stack up those  unholy ( or whatever) patches of dirt, there is 1 boss that have same mechanics etc..."
Meldanen ( ͡° ͜ʖ ͡°),"> first gemista recipe on google has potato
@H Chof 🍈 maybe first recipe is not cypriot? :>"
Mel0n,i felt the aura of judgement approaching
giannakisftw,u get all the dicks from ezpz 😛
Con,<:eqeqeq:534427246488977418>
Mel0n,🥕
Meldanen ( ͡° ͜ʖ ͡°),🔪
giannakisftw,"for example whenever we have hte water on until it become worm, we guther it in a bucket"
Almond™ of the day.,"Me during work meetings:
https://9gag.com/gag/a5R3gYG"
Nodtriel,i like this idea and the price is good for Glen
Kahlan,"Step one
Have a sensitive digestive system
Step two
Trigger it"
Con,why are they all will smiths?
Con,why are there no unlucky flowers?
Mel0n,In the morning I found some drops of unidentified liquid on the floor where it was so I guess she squished it a little
Almond™ of the day.,no
giannakisftw,<:kiri:536137596774907905>
Mel0n,@xdo go 🥥 SUGGEST A DINNER PLACE
Kahlan,what's the word
Almond™ of the day.,[laughs at spending the rest of my life being perpetually late]
Turok,https://www.youtube.com/watch?v=BSgp5qI63to
Con,https://www.youtube.com/watch?v=-OHD4apQUuQ
Nodtriel,"I had 4 dreams in a row last night where I knew I was in a dream and forced myself awake only to wake up in another dream in my room, the last one almost had me convinced i was awake except for the fact that i was in bed with Shanks, I had let Shanks out of my room not too long before that dream IRL."
Meldanen ( ͡° ͜ʖ ͡°),at least he got kicked out 👀
giannakisftw,i see  😛
Mel0n,The average American shower uses approximately 15.8 gallons (59.8 liters) and lasts for 7.8 minutes at an average flow rate of 2.1 gallons per minute (7.9 lpm).
Kahlan,<:eqeqeq:534427246488977418>
giannakisftw,i really like tribes/tribal aesthetics in games ❤️
Con,gief pasta and cheese
Mel0n,Not a huge fan of the once a month campaign. Are these one offs or ongoing?
Mel0n,https://www.facebook.com/TheIndependentOnline/videos/477800179586988/
Meldanen ( ͡° ͜ʖ ͡°),did anything happen or did they just change their mind?
giannakisftw,u know what... heck it... i feel like going out with every one.... glen taxi services are on
Con,Yay
Nodtriel,"The problem is that Nicoletta said ""just name one"" and he went ahead and named more"
Con,"oh no, super long arc in UK, in the future"
Con,all the cats can fit because they are liquid
giannakisftw,he has ¬40 accounts on fb
milkypaws,you were interested in solasta right?
Kahlan,Didn't you say you haven't had much to do lately due to corona?
Mel0n,no matter what
giannakisftw,https://giphy.com/gifs/dog-adorable-LfLlWgtibnk76
Nodtriel,People forget they are controlling a speeding death machine
Kahlan,Cbb to correct
Con,smort boi
Turok,A bot that has watched 1000 hours of Greek tragedies
Almond™ of the day.,changes.
Con,what's wrong with the boobs i drew?
Meldanen ( ͡° ͜ʖ ͡°),Hue
Con,yeah i'll pass on that xD
Kahlan,OR i may ahve tried it at a party somewhere
giannakisftw,https://giphy.com/gifs/1iw3fuq565IfXhwao4 hungry boi!!!! :3
Nodtriel,"I mean... like Jackie, Pappis was best boi 
Jackie was the protector of the neighbourhood, everyone loved him, simpler times back then :("
Meldanen ( ͡° ͜ʖ ͡°),I am adding stuff
Meldanen ( ͡° ͜ʖ ͡°),-skip
Meldanen ( ͡° ͜ʖ ͡°),Why is it still alive is the real question ( ͡° ͜ʖ ͡°)
Almond™ of the day.,<:bonk:755409585841504358>
giannakisftw,insteed of selling it.
Mel0n,yep
Con,"there's probably thousands of them, in wow xD"
Almond™ of the day.,"I just found a pot in the cupboard whilst I was getting the scales out, so I ate two, because yum."
Meldanen ( ͡° ͜ʖ ͡°),Hmm
Almond™ of the day.,My PC is literally dead. That's more not having a choice.
Kahlan,Good! You can start making the calls now!!
Almond™ of the day.,Ok
Kahlan,@​everyone  not sorry for the tag
Con,<:sadness:534426569406545921>
Turok,"(which, by the way isn't)"
Turok,Blizzard.
Mel0n,https://www.facebook.com/groups/102304417009/permalink/10157772697067010/ @Slot 🍓
Nodtriel,Takes place before the previous one
giannakisftw,so? is there a place in cy?
Con,yis
Kahlan,"Ah well.
""Soz management sucks ass, they didn't allocate time. K bye'"
Mel0n,i saw that ad on my newsfeed and i was like w0t
Meldanen ( ͡° ͜ʖ ͡°),so you can't really blame them
Mel0n,is anyone gonna play it?
Mel0n,I don't tend to like going to the cinema
Meldanen ( ͡° ͜ʖ ͡°),the plot actually makes a lot of sense
Meldanen ( ͡° ͜ʖ ͡°),but I don't know when
Nodtriel,yes it is
Almond™ of the day.,mm mm mm
milkypaws,Oops yeah lol we are playing the tabletop game of Dungeon Degenerates - Hand of Doom atm 😂
Con,i've only tried one so far
Kahlan,"""......u have a bit too much active atm, plz wait until u paid some off before u try for a new one"""
Mel0n,hanlo
Con,why not?
giannakisftw,mamma???
Con,"makes sense, garbo game can play on a garbo pc"
Kahlan,<:eqeqeq:534427246488977418>
milkypaws,Both of you @Joph 🍋 @Slot 🍓 it was too good not to share
giannakisftw,"literally the game makes it in a way that u just cant win, if u dont pay xD"
milkypaws,yes yesterday!
Almond™ of the day.,I want that dragon bird thing.
Nodtriel,i started reading the manga after season 1 because i didn't think they were going to continue the anime
Nodtriel,-skip
Almond™ of the day.,Cassouleeeet
giannakisftw,"hey con, do u have a favorite dish?"
Almond™ of the day.,"Hey, I told it it's good"
Turok,Seen that. It's funny :p
Con,what did he do?
Con,$w
Mel0n,LOOK AT IT
Kahlan,TAIL HAND<:aaaaaaaaaaaaa:551753069189267457>
Mel0n,<:ponponpon:539164612919164938>
Con,"i played a bit for some quest, but i don't think i got any rank xD"
Meldanen ( ͡° ͜ʖ ͡°),which react?
Con,does that mean he can get free wow sub?
Con,Beep beep I'm a sheep
giannakisftw,Why it doesnt make any sense?
giannakisftw,from what i can tell
Kahlan,BB8 is fking greedy
Nodtriel,Nobody tell her about the aliens that abducted her while we all just watched it happen
Almond™ of the day.,He just tried to get into ARK and he's been using my install file from my external all this time xD
incognito,A0FWC-ZQWYY-LIZG0    F1 Race Stars Complete
Con,"so, pokemon home is out"
Meldanen ( ͡° ͜ʖ ͡°),😮
Almond™ of the day.,*uwu*
giannakisftw,these dudes... they have my full respect.... they could had easily milk the cow but they said no!
Nodtriel,"Some boobs for @Slot 🍓 
quickly jotted them in so will need some more work later on"
Con,https://www.youtube.com/watch?v=HvRcQFKtQuw
Nodtriel,good stuff
Kahlan,not that there isn't work
giannakisftw,drop
giannakisftw,But will the game play us???
Kahlan,Except helen. She's the opposite of thirst
giannakisftw,😛
giannakisftw,"just got home, opens youtube- vweryfirst recomendation is this 0.o https://www.youtube.com/watch?v=OdzZ-u-TcyI"
Nodtriel,Lol
milkypaws,"but still they dont really want to help with teaching games, they only want to do dnd one shots/tutorials"
Nodtriel,Hahaha
Mel0n,Κατερίνα Παντέλα
Nodtriel,making your coworkers take pictures of you now?
Meldanen ( ͡° ͜ʖ ͡°),Italian
Mel0n,"suggestion: it's looking a little blurry, maybe find an artist who shades this way and try and see how they make theirs less blurry"
Con,the gringe
giannakisftw,"are u pulling a glen? 
all jobs are graphic designers
all bird meat are chicken? xD  - cause those are some wierd-looking chickens xD"
Con,"ross doesn't even ask people to subscribe anymore, he competes with them in rock paper scissors and if they lose, they have to subscribe <:eqeqeq:534427246488977418> 
https://www.youtube.com/watch?v=kWO0D0PWUFI"
Kahlan,from the seams
Mel0n,aaaaaaaaa
